Timestamp,Timestamp (Seconds),Algorithm,Algorithm (human readable),Avg Key Gen Time (ms),Avg Cert Signing Request Time (ms),Avg Cert Gen Time (ms),Avg Cert Verifying Time (ms),
2024-06-13 14:32:18.737151,1718289138.737151,secp 256r1,ECDSA 256r1,0.001445937156677246,0.0020256996154785155,0.0023214101791381838,17.24327132701874,
2024-06-13 14:36:02.778390,1718289362.77839,secp 384r1,ECDSA 384r1,0.0019546985626220704,0.0025359869003295896,0.002466559410095215,22.390892720222475,
2024-06-13 14:41:08.979304,1718289668.979304,secp 521r1,ECDSA 521r1,0.002623438835144043,0.003441333770751953,0.003350281715393066,30.602744436264036,
2024-06-13 15:32:39.341476,1718292759.341476,rsa 2048,RSA 2048,292.99019265174866,0.004674077033996582,0.0024956464767456055,16.012628507614135,
2024-06-13 16:24:31.744678,1718295871.744678,rsa 3072,RSA 3072,295.16328821182253,0.004787445068359375,0.0022815942764282224,16.016934418678282,
2024-06-13 17:16:47.221754,1718299007.221754,rsa 4096,RSA 4096,297.50104274749754,0.004584693908691407,0.0023943185806274414,16.021117091178894,
2024-06-13 18:09:32.207333,1718302172.207333,rsa,RSA,300.476432967186,0.004660677909851075,0.002472519874572754,15.989280390739442,
2024-06-13 18:15:06.066995,1718302506.066995,dilithium2,Dilithium 2,16.82463731765747,0.0019498348236083986,0.0019849061965942385,16.555482196807862,
2024-06-13 18:20:54.622718,1718302854.622718,dilithium3,Dilithium 3,17.76028084754944,0.001820683479309082,0.002023482322692871,17.089617896080018,
2024-06-13 18:27:02.919538,1718303222.919538,dilithium5,Dilithium 5,18.822445702552795,0.0018200397491455079,0.008011984825134278,17.995109415054323,
2024-06-13 18:36:08.823387,1718303768.823387,falcon512,Falcon 512,38.256180262565614,0.0017300605773925783,0.0018954038619995118,16.32715423107147,
2024-06-13 18:51:36.846915,1718304696.846915,falcon1024,Falcon 1024,76.11747624874116,0.0016631364822387695,0.002186393737792969,16.674282956123353,
2024-06-13 21:10:23.856845,1718313023.856845,SPHINCSSHA2128fsimple,SPHINCS+-SHA2-128f-simple,418.19509799480437,0.0014061450958251954,0.04193520545959473,414.4215907812119,
2024-06-13 23:29:07.107124,1718321347.107124,SPHINCSSHA2128ssimple,SPHINCS+-SHA2-128s-simple,418.10066394805904,0.0014254331588745117,0.04156713485717774,414.1396576166153,
2024-06-14 01:48:10.820918,1718329690.820918,SPHINCSSHA2192fsimple,SPHINCS+-SHA2-192f-simple,418.00537376403804,0.0015248775482177735,0.04140408039093018,416.2815962553024,
